,id,sex,age,marital,child,educ,source,smoke,smokenum,op1,op2,op3,op4,op5,op6,mast1,mast2,mast3,mast4,mast5,mast6,mast7,pn1,pn2,pn3,pn4,pn5,pn6,pn7,pn8,pn9,pn10,pn11,pn12,pn13,pn14,pn15,pn16,pn17,pn18,pn19,pn20,lifsat1,lifsat2,lifsat3,lifsat4,lifsat5,pss1,pss2,pss3,pss4,pss5,pss6,pss7,pss8,pss9,pss10,sest1,sest2,sest3,sest4,sest5,sest6,sest7,sest8,sest9,sest10,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15,pc16,pc17,pc18
10,11.0,FEMALES,22.0,STEADY RELATIONSHIP,NO,COMPLETED UNDERGRADUATE,WORK,NO,0.0,1.0,4.0,1.0,4.0,2.0,4.0,3.0,4.0,3.0,1.0,3.0,3.0,2.0,5.0,4.0,4.0,2.0,2.0,5.0,3.0,4.0,2.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,5.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,5.0,3.0,4.0,3.0,2.0,3.0,2.0,1.0,4.0,2.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,4.0,3.0,2.0,2.0
11,12.0,FEMALES,31.0,MARRIED FIRST TIME,YES,COMPLETED UNDERGRADUATE,LIFE IN GENERAL,NO,0.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,2.0,5.0,3.0,2.0,4.0,1.0,5.0,3.0,3.0,4.0,2.0,3.0,5.0,3.0,2.0,4.0,2.0,4.0,3.0,2.0,2.0,6.0,6.0,6.0,7.0,7.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,1.0,4.0,1.0,4.0,2.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
12,13.0,FEMALES,45.0,MARRIED FIRST TIME,YES,COMPLETED UNDERGRADUATE,WORK,NO,0.0,5.0,1.0,5.0,1.0,5.0,1.0,2.0,4.0,1.0,1.0,4.0,1.0,1.0,5.0,2.0,1.0,3.0,1.0,5.0,5.0,3.0,4.0,1.0,3.0,4.0,4.0,1.0,3.0,1.0,4.0,4.0,3.0,1.0,7.0,7.0,7.0,7.0,7.0,3.0,2.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,3.0,2.0,3.0,3.0,4.0,2.0,1.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
13,14.0,MALES,26.0,MARRIED FIRST TIME,NO,COMPLETED UNDERGRADUATE,WORK,YES,5.0,3.0,3.0,4.0,1.0,5.0,3.0,2.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,4.0,5.0,1.0,4.0,1.0,1.0,5.0,4.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,7.0,7.0,7.0,7.0,6.0,1.0,1.0,3.0,5.0,5.0,1.0,4.0,5.0,2.0,2.0,4.0,4.0,1.0,4.0,1.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,3.0,1.0,5.0,1.0,5.0,5.0,2.0,1.0,1.0,5.0,5.0
14,15.0,MALES,51.0,REMARRIED,YES,SOME SECONDARY,8.0,NO,0.0,3.0,2.0,4.0,2.0,4.0,3.0,2.0,3.0,2.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,4.0,4.0,2.0,3.0,1.0,2.0,3.0,4.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,5.0,4.0,5.0,5.0,5.0,2.0,3.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,3.0,3.0,4.0,1.0,3.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,4.0,4.0,4.0,3.0,1.0,4.0,4.0,4.0,1.0,4.0,4.0,3.0,4.0,2.0,3.0,4.0
15,16.0,FEMALES,37.0,REMARRIED,YES,COMPLETED HIGHSCHOOL,WORK,NO,0.0,3.0,2.0,4.0,3.0,4.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,3.0,4.0,1.0,5.0,5.0,2.0,4.0,4.0,2.0,3.0,4.0,3.0,2.0,1.0,3.0,4.0,2.0,2.0,5.0,5.0,7.0,6.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,1.0,3.0,1.0,4.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0
16,17.0,MALES,33.0,SINGLE,NO,SOME ADDITIONAL TRAINING,WORK,NO,0.0,2.0,2.0,5.0,2.0,4.0,2.0,3.0,4.0,4.0,2.0,3.0,2.0,2.0,4.0,4.0,1.0,4.0,2.0,4.0,4.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,4.0,1.0,3.0,4.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,2.0,2.0,2.0,4.0
17,18.0,FEMALES,61.0,WIDOWED,YES,COMPLETED HIGHSCHOOL,WORK,NO,0.0,4.0,2.0,4.0,1.0,5.0,1.0,1.0,4.0,1.0,1.0,4.0,2.0,2.0,4.0,2.0,1.0,3.0,1.0,4.0,5.0,2.0,4.0,2.0,2.0,3.0,4.0,1.0,4.0,1.0,5.0,4.0,2.0,2.0,6.0,6.0,6.0,7.0,6.0,3.0,2.0,3.0,5.0,4.0,3.0,5.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,1.0,4.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,5.0,4.0,2.0,4.0,4.0,4.0,2.0,5.0,3.0,3.0,2.0,2.0,3.0,4.0
18,19.0,FEMALES,33.0,SINGLE,NO,SOME ADDITIONAL TRAINING,WORK,NO,0.0,3.0,2.0,3.0,3.0,4.0,1.0,1.0,4.0,3.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,4.0,5.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,5.0,4.0,3.0,3.0,1.0,1.0,4.0,5.0,5.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,3.0,2.0,3.0,4.0,1.0,4.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,5.0,5.0,3.0,4.0,3.0,1.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
19,20.0,FEMALES,42.0,MARRIED FIRST TIME,YES,SOME ADDITIONAL TRAINING,8.0,NO,0.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,1.0,3.0,4.0,4.0,1.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,3.0,3.0,5.0,1.0,2.0,3.0,5.0,5.0,2.0,1.0,4.0,1.0,4.0,4.0,1.0,1.0
20,21.0,FEMALES,45.0,MARRIED FIRST TIME,YES,POSTGRADUATE COMPLETED,WORK,NO,0.0,2.0,3.0,4.0,2.0,4.0,2.0,1.0,4.0,3.0,1.0,4.0,1.0,2.0,4.0,4.0,2.0,2.0,1.0,5.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,1.0,3.0,2.0,4.0,5.0,3.0,1.0,5.0,5.0,5.0,3.0,1.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,5.0,2.0,4.0,3.0,1.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,4.0,2.0,2.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,3.0,4.0
21,22.0,FEMALES,57.0,MARRIED FIRST TIME,NO,SOME ADDITIONAL TRAINING,8.0,NO,0.0,3.0,2.0,5.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,5.0,1.0,1.0,3.0,1.0,3.0,5.0,1.0,3.0,1.0,1.0,3.0,4.0,1.0,3.0,1.0,3.0,5.0,1.0,1.0,5.0,6.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,4.0,1.0,3.0,5.0
22,23.0,FEMALES,60.0,MARRIED FIRST TIME,NO,COMPLETED UNDERGRADUATE,FAMILY,YES,140.0,4.0,2.0,3.0,1.0,4.0,1.0,3.0,3.0,1.0,2.0,4.0,1.0,2.0,4.0,4.0,1.0,2.0,2.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,1.0,4.0,2.0,3.0,3.0,3.0,3.0,6.0,6.0,6.0,6.0,6.0,5.0,3.0,4.0,4.0,3.0,2.0,4.0,3.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0
23,24.0,MALES,23.0,SINGLE,NO,POSTGRADUATE COMPLETED,,NO,0.0,1.0,3.0,1.0,4.0,1.0,5.0,3.0,1.0,3.0,3.0,2.0,4.0,2.0,2.0,5.0,5.0,2.0,4.0,2.0,2.0,5.0,2.0,3.0,4.0,2.0,2.0,5.0,2.0,5.0,2.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,5.0,1.0,1.0,5.0,2.0,1.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,3.0,1.0,5.0,5.0,1.0,1.0
24,25.0,FEMALES,48.0,MARRIED FIRST TIME,YES,SOME ADDITIONAL TRAINING,WORK,NO,0.0,3.0,1.0,5.0,1.0,5.0,1.0,3.0,4.0,3.0,4.0,4.0,3.0,1.0,5.0,2.0,1.0,4.0,1.0,5.0,3.0,,4.0,1.0,1.0,5.0,4.0,1.0,4.0,1.0,5.0,4.0,2.0,1.0,5.0,4.0,6.0,5.0,5.0,2.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,2.0,3.0,4.0,4.0,1.0,4.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,5.0,5.0,5.0,3.0,1.0,4.0,5.0,4.0,1.0,4.0,3.0,2.0,4.0,2.0,3.0,4.0
25,26.0,FEMALES,55.0,SINGLE,YES,POSTGRADUATE COMPLETED,WORK,NO,0.0,4.0,1.0,4.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,3.0,2.0,4.0,1.0,5.0,3.0,2.0,4.0,1.0,1.0,3.0,4.0,1.0,3.0,1.0,4.0,4.0,1.0,1.0,5.0,5.0,5.0,6.0,6.0,2.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,5.0,4.0,4.0,4.0,1.0,4.0,5.0,4.0,1.0,4.0,4.0,4.0,2.0,1.0,4.0,4.0
26,27.0,FEMALES,38.0,MARRIED FIRST TIME,YES,COMPLETED UNDERGRADUATE,,NO,0.0,3.0,1.0,5.0,1.0,5.0,1.0,3.0,4.0,3.0,2.0,3.0,2.0,1.0,5.0,5.0,1.0,4.0,1.0,4.0,4.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,6.0,6.0,6.0,6.0,6.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,5.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,5.0,3.0,3.0
27,28.0,MALES,27.0,STEADY RELATIONSHIP,NO,COMPLETED HIGHSCHOOL,WORK,NO,0.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,4.0,2.0,2.0,3.0,3.0,5.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,6.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,2.0,1.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0
28,29.0,MALES,21.0,SINGLE,NO,COMPLETED HIGHSCHOOL,FAMILY,NO,0.0,4.0,1.0,4.0,2.0,5.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,3.0,4.0,1.0,3.0,1.0,1.0,4.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,1.0,6.0,6.0,7.0,7.0,7.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,3.0,4.0,5.0,4.0,1.0,4.0,3.0,3.0,2.0,4.0,3.0,1.0,1.0,4.0,5.0
29,30.0,MALES,37.0,MARRIED FIRST TIME,YES,COMPLETED UNDERGRADUATE,WORK,NO,0.0,4.0,2.0,4.0,2.0,4.0,2.0,1.0,3.0,1.0,1.0,4.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,4.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0
30,31.0,FEMALES,27.0,MARRIED FIRST TIME,YES,SOME SECONDARY,CHILDREN,NO,0.0,3.0,3.0,5.0,2.0,2.0,5.0,2.0,4.0,1.0,1.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,1.0,5.0,4.0,5.0,5.0,2.0,4.0,4.0,5.0,4.0,4.0,1.0,3.0,5.0,4.0,1.0,6.0,7.0,5.0,7.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,1.0,4.0,1.0,2.0,4.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,5.0,5.0,4.0,1.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0
31,32.0,MALES,31.0,LIVING WITH PARTNER,NO,POSTGRADUATE COMPLETED,9.0,NO,0.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,4.0,1.0,3.0,3.0,2.0,2.0,1.0,4.0,3.0,2.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,4.0,2.0,4.0
32,33.0,MALES,52.0,STEADY RELATIONSHIP,YES,COMPLETED HIGHSCHOOL,WORK,NO,0.0,4.0,1.0,5.0,1.0,5.0,1.0,2.0,4.0,1.0,1.0,4.0,1.0,2.0,4.0,2.0,1.0,4.0,2.0,4.0,4.0,1.0,3.0,2.0,2.0,5.0,5.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,4.0,7.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,1.0,4.0,4.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,5.0,5.0,4.0,5.0,2.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0,1.0,2.0,4.0,4.0
